activity_type,title,distance,start_latitude,start_longitude,total_time
running,Chesterfield County Running,3.62,37.38769811578096,-77.58282367140055,55
running,Chesterfield County Running,2.1,37.38680351525545,-77.5822112057358,36
walking,Powhatan County Walking,5.0,37.678434820845716,-77.94614162296055,105
running,Chesterfield County Running,2.26,37.3859859444201,-77.58409881033003,36
walking,Nelson County Walking,4.01,37.849361272528775,-79.07827354967594,162
running,Chesterfield County Running,1.28,37.38889195024967,-77.65738061629236,16
running,Chesterfield County Running,1.09,37.39170642569661,-77.65738304704428,14
walking,Madison County Walking,2.86,38.55510670691729,-78.38869957253338,114
walking,Nelson County Walking,3.56,37.84094299189746,-79.13165378384292,143
running,Louisa County Running,0.86,38.08950522914529,-77.83191866241395,11
running,Louisa County Running,0.32,38.0895459651947,-77.82862566411495,3
running,Chesterfield County Running,1.25,37.39047621376813,-77.65772586688401,16
walking,Chesterfield County Walking,1.67,37.38391150720417,-77.59757204912603,40
running,Chesterfield County Running,1.34,37.390774860978134,-77.65792108140886,16
running,Chesterfield County Running,1.0,37.39303747192025,-77.65507165342571,13
running,Chesterfield County Running,1.58,37.467281185090535,-77.7042236365378,22
running,Chesterfield County Running,1.0,37.38452749326825,-77.65476780943573,13
walking,Chesterfield County Walking,1.05,37.39082247018814,-77.65800925903022,20
running,Chesterfield County Running,1.0,37.39050747826696,-77.65659833326936,13
walking,Louisa County Walking,3.05,38.08861054480076,-77.83212938345969,60
running,Chesterfield County Running,1.24,37.39012023434043,-77.65574815683067,16
running,Chesterfield County Running,2.54,37.38134840503335,-77.59135452099144,45
running,Chesterfield County Running,2.42,37.38046570681036,-77.59119132533671,40
walking,Chesterfield County Walking,3.74,37.385367024689906,-77.6010098028928,97
running,Chesterfield County Running,0.52,37.387798614799976,-77.65696998685598,6
walking,Chesterfield County Walking,3.05,37.377457609400146,-77.53842431120573,71
cycling,Chesterfield County Cycling,0.01,37.41031508892775,-77.65452993102372,14
walking,Chesterfield County Walking,0.84,37.41358319297433,-77.67402213066815,21
running,Chesterfield County Running,1.03,37.41903830319643,-77.67255697399378,13
running,Miami Running,1.76,25.68958656862378,-80.3261260315776,24
running,Midlothian Running,2.0,37.41703578270972,-77.66785598360002,22
running,Fairfax Running,0.47,38.83682037703693,-77.27683626115322,4
running,Fairfax Running,0.47,38.83676731958985,-77.27686752565205,4
running,Annandale Running,1.34,38.82425975985825,-77.25312042050064,15
running,Annandale Running,0.94,38.81961643695831,-77.2578222490847,12
running,Annandale Running,1.01,38.82621416822076,-77.24959666840732,9
running,Mineral Running,1.0,38.09131764806807,-77.82690569758415,10
running,Mineral Running,1.26,38.091212287545204,-77.82715464010835,15
running,Mineral Running,1.0,38.09121907688677,-77.82682196237147,11
running,Blacksburg Running,0.84,37.281791344285004,-80.46960510313511,10
running,Annandale Running,1.0,38.826935095712535,-77.24939139559866,10
running,Mineral Running,1.0,38.09125754982233,-77.82711792737246,11
running,Mineral Running,1.0,38.09009288437665,-77.8280546888709,11
walking,Mineral Walking,3.0,38.09021257795394,-77.83088592812419,63
running,Annandale Running,1.36,38.81794324144721,-77.24832572042942,15
running,Myrtle Beach Running,2.38,33.626245893538,-78.98537867702544,30
running,Mineral Running,1.5,38.09090207330883,-77.82771287485956,16
walking,Blacksburg Walking,3.0,37.213448071852326,-80.43294483795762,49
running,Blacksburg Running,0.74,37.215915620327,-80.44378054328263,7
running,Blacksburg Running,1.79,37.216009497642524,-80.44391021132469,21
hiking,Blacksburg Hiking,3.33,37.26257901638746,-80.49742229282856,52
running,Blacksburg Running,2.57,37.28153108619153,-80.4700099490583,35
running,Blacksburg Running,5.02,37.21587295643985,-80.44371767900884,60
running,Blacksburg Running,3.5,37.2158778,-80.4438747,43
running,Blacksburg Running,3.01,37.2159093,-80.4437937,36
hiking,Shawsville Hiking,4.78,37.1331219,-80.1830978,148
running,Blacksburg Running,2.5,37.215961,-80.4438362,30
walking,Blacksburg Walking,2.7,37.213793700000004,-80.4422859,57
running,Annandale Running,1.45,38.8225699,-77.25472590000001,19
walking,Fairfax Station Walking,1.19,38.765330600000006,-77.2999089,25
running,Fairfax Station Running,1.01,38.7648869,-77.3050204,10
treadmill_running,Annandale Running,2.2,38.8258306,-77.2497347,30
