activity_type,date,title,distance,calories,duration,avg_hr,max_hr,avg_pace,best_pace,steps,start_latitude,start_longitude
running,9/12/2019 16:05,Chesterfield County Running,3.62,462,0:55:37,159,190,15:21,10:20,7144,37.38769812,-77.58282367
running,9/5/2019 16:04,Chesterfield County Running,2.1,295,0:36:08,157,184,17:11,11:09,4720,37.38680352,-77.58221121
walking,9/1/2019 10:22,Powhatan County Walking,5,690,1:45:41,138,173,21:09,13:53,10924,37.67843482,-77.94614162
running,8/21/2019 9:55,Chesterfield County Running,2.26,328,0:36:36,158,185,16:12,11:56,4878,37.38598594,-77.58409881
walking,8/20/2019 10:11,Nelson County Walking,4.01,751,2:42:50,125,160,40:35:00,4:03,7332,37.84936127,-79.07827355
running,8/16/2019 18:00,Running,0.75,105,0:10:06,169,185,13:29,10:51,1360,,
running,8/16/2019 17:48,Running,1,115,0:11:58,156,192,11:56,9:55,1700,,
running,8/12/2019 13:41,Chesterfield County Running,1.28,169,0:16:02,171,188,12:29,9:15,2278,37.38889195,-77.65738062
running,8/8/2019 15:12,Chesterfield County Running,1.09,131,0:14:36,150,188,13:23,9:16,2012,37.39170643,-77.65738305
walking,7/18/2019 11:54,Madison County Walking,2.86,559,1:54:36,127,175,40:09:00,15:27,4638,38.55510671,-78.38869957
walking,7/12/2019 11:17,Nelson County Walking,3.56,876,2:23:40,141,189,40:24:00,7:23,5826,37.84094299,-79.13165378
running,7/5/2019 11:45,Louisa County Running,0.86,115,0:11:01,170,186,12:51,8:03,1486,38.08950523,-77.83191866
running,7/5/2019 11:35,Louisa County Running,0.32,33,03:39.4,151,161,11:36,9:29,544,38.08954597,-77.82862566
running,6/19/2019 14:58,Chesterfield County Running,1.25,141,0:16:03,149,185,12:50,8:24,,37.39047621,-77.65772587
walking,6/17/2019 12:20,Chesterfield County Walking,1.67,233,0:40:12,131,172,24:03:00,8:06,3330,37.38391151,-77.59757205
running,6/14/2019 10:42,Running,2.09,274,0:30:35,155,182,14:37,10:16,4104,,
running,6/10/2019 12:18,Chesterfield County Running,1.34,170,0:16:48,165,189,12:34,8:00,2264,37.39077486,-77.65792108
running,6/6/2019 17:19,Chesterfield County Running,1,139,0:13:31,167,188,13:31,8:32,1842,37.39303747,-77.65507165
running,6/4/2019 16:39,Chesterfield County Running,1.58,207,0:22:20,156,183,14:08,10:53,2998,37.46728119,-77.70422364
running,6/3/2019 9:55,Chesterfield County Running,1,128,0:13:07,156,180,13:10,9:29,1828,37.38452749,-77.65476781
walking,5/27/2019 15:47,Chesterfield County Walking,1.05,154,0:20:14,143,171,19:22,16:31,2188,37.39082247,-77.65800926
running,5/27/2019 14:43,Chesterfield County Running,1,133,0:13:28,160,188,13:30,9:27,1858,37.39050748,-77.65659833
walking,5/26/2019 10:49,Louisa County Walking,3.05,360,1:00:34,134,168,19:50,16:48,6464,38.08861054,-77.83212938
running,4/9/2019 17:55,Chesterfield County Running,1.24,146,0:16:54,146,164,13:38,9:09,2242,37.39012023,-77.65574816
running,3/14/2019 16:12,Chesterfield County Running,2.54,338,0:45:10,139,175,17:48,10:16,5382,37.38134841,-77.59135452
indoor_rowing,3/1/2019 16:51,Indoor Rowing,,38,07:49.2,110,125,,,,,
running,2/5/2019 16:13,Chesterfield County Running,2.42,277,0:40:04,131,159,16:35,9:35,4904,37.38046571,-77.59119133
walking,1/27/2019 10:44,Chesterfield County Walking,3.74,489,1:37:23,116,163,26:02:00,13:37,8438,37.38536702,-77.6010098
running,1/5/2019 11:21,Chesterfield County Running,0.52,63,06:19.8,159,178,12:13,8:24,874,37.38779861,-77.65696999
treadmill_running,12/30/2018 10:03,Treadmill Running,0.89,126,0:13:56,147,176,15:44,7:50,1604,,
treadmill_running,12/27/2018 18:18,Treadmill Running,1.09,131,0:16:14,140,169,14:51,5:51,1866,,
walking,11/22/2018 12:38,Walking,1.24,148,0:21:56,129,181,17:40,9:04,1860,,
walking,11/11/2018 12:36,Chesterfield County Walking,3.05,407,1:11:44,131,162,23:32,2:48,4744,37.37745761,-77.53842431
cycling,10/12/2018 14:04,Chesterfield County Cycling,0.01,88,0:14:26,133,175,0,3,,37.41031509,-77.65452993
indoor_cycling,3/13/2018 18:55,Indoor Cycling,0,72,07:24.3,155,180,,,,,
indoor_cycling,3/13/2018 18:10,Indoor Cycling,0,388,0:43:33,151,198,,,,,
treadmill_running,3/5/2018 15:44,Treadmill Running,0.71,74,08:51.0,141,195,12:30,8:27,1240,,
walking,2/18/2018 13:35,Chesterfield County Walking,0.84,120,0:21:19,123,161,25:30:00,16:48,1858,37.41358319,-77.67402213
running,2/18/2018 13:20,Chesterfield County Running,1.03,129,0:13:29,155,174,13:05,9:24,1918,37.4190383,-77.67255697
treadmill_running,2/16/2018 18:53,Treadmill Running,0.96,133,0:13:03,166,190,13:32,8:57,1726,,
indoor_cycling,2/9/2018 16:55,Indoor Cycling,0,35,04:33.0,135,149,,,,,
treadmill_running,12/31/2017 16:47,Treadmill Running,0.65,67,08:32.6,,,13:10,5:57,1036,,
running,12/28/2017 13:12,Miami Running,1.76,161,0:24:12,,,13:47,8:41,3044,25.68958657,-80.32612603
treadmill_running,12/10/2017 12:22,Treadmill Running,0.45,47,05:43.2,,,12:46,7:34,704,,
treadmill_running,12/7/2017 18:24,Treadmill Running,0.51,52,07:13.4,,,14:03,7:25,860,,
treadmill_running,12/6/2017 19:30,Treadmill Running,0.33,34,04:51.7,,,14:37,7:42,542,,
treadmill_running,11/18/2017 11:41,Treadmill Running,0.19,19,01:57.1,,,10:23,8:24,288,,
treadmill_running,11/16/2017 18:25,Treadmill Running,0.4,42,06:36.2,,,16:29,7:41,646,,
treadmill_running,11/13/2017 17:17,Treadmill Running,0.24,25,03:16.8,,,13:51,9:27,400,,
treadmill_running,11/12/2017 17:15,Treadmill Running,0.26,28,02:47.1,,,10:39,9:15,436,,
treadmill_running,10/13/2017 17:23,Treadmill Running,0.66,68,09:32.6,,,14:30,8:10,1084,,
treadmill_running,10/12/2017 18:14,Treadmill Running,0.24,23,06:05.8,,,25:56:00,8:36,434,,
treadmill_running,10/2/2017 20:08,Treadmill Running,0.98,107,0:10:31,,,10:44,8:07,1524,,
running,10/1/2017 17:26,Midlothian Running,2,218,0:22:04,,,11:02,8:27,3450,37.41703578,-77.66785598
treadmill_running,9/26/2017 18:14,Treadmill Running,0.87,93,0:10:56,,,12:32,6:59,1368,,
running,9/24/2017 17:57,Running,0.97,105,0:10:45,,,11:06,9:24,1640,,
treadmill_running,8/22/2017 18:59,Treadmill Running,0.92,96,0:11:43,,,12:45,6:32,1446,,
treadmill_running,8/21/2017 18:34,Treadmill Running,0.99,103,0:16:42,,,16:53,6:52,1622,,
running,8/10/2017 14:55,Fairfax Running,0.47,52,04:46.5,,,10:04,7:34,744,38.83682038,-77.27683626
running,8/10/2017 14:46,Fairfax Running,0.47,51,04:05.3,,,8:38,5:25,638,38.83676732,-77.27686753
running,8/7/2017 18:38,Annandale Running,1.34,149,0:15:57,,,11:56,2:44,2300,38.82425976,-77.25312042
running,8/6/2017 18:33,Annandale Running,0.94,94,0:12:15,,,12:58,8:41,1620,38.81961644,-77.25782225
running,8/6/2017 18:31,Running,0.08,6,01:17.7,,,16:40,11:30,178,,
treadmill_running,8/4/2017 11:51,Treadmill Running,0.93,101,0:11:46,,,12:41,10:18,1702,,
running,7/31/2017 10:08,Annandale Running,1.01,107,09:57.9,,,9:55,8:52,1542,38.82621417,-77.24959667
running,7/25/2017 7:40,Mineral Running,1,101,0:10:13,,,10:13,7:55,1426,38.09131765,-77.8269057
running,7/24/2017 10:26,Mineral Running,1.26,128,0:15:00,,,11:55,6:34,2144,38.09121229,-77.82715464
running,7/23/2017 10:48,Mineral Running,1,108,0:11:24,,,11:23,9:45,1740,38.09121908,-77.82682196
running,7/19/2017 15:37,Blacksburg Running,0.84,77,0:10:14,,,12:14,7:17,1292,37.28179134,-80.4696051
running,7/18/2017 15:27,Annandale Running,1,103,0:10:13,,,10:12,4:55,1456,38.8269351,-77.2493914
running,6/29/2017 18:19,Mineral Running,1,87,0:11:44,,,11:42,6:16,1360,38.09125755,-77.82711793
running,6/28/2017 18:22,Mineral Running,1,95,0:11:03,,,11:03,6:58,1426,38.09009288,-77.82805469
walking,6/4/2017 13:00,Mineral Walking,3,230,1:03:33,,,21:12,10:18,4930,38.09021258,-77.83088593
running,5/31/2017 13:58,Annandale Running,1.36,131,0:15:52,,,11:41,7:21,2110,38.81794324,-77.24832572
treadmill_running,5/30/2017 19:47,Treadmill Running,1.43,150,0:18:36,,,13:00,7:29,2368,,
running,5/27/2017 8:10,Myrtle Beach Running,2.38,239,0:30:45,,,12:54,9:01,4078,33.62624589,-78.98537868
running,5/21/2017 13:24,Mineral Running,1.5,157,0:16:16,,,10:51,8:07,2382,38.09090207,-77.82771287
